Company,TypeName,Ram,Gpu,OpSys,Weight,PPI,SSD_GB,Cpu_Family,Cpu_Clockspeed,target
Lenovo,Netbook,4,Intel HD Graphics 500,Windows 10,1.59,135.09,128,Celeron Quad Core,1.1,553
Acer,Gaming,8,Nvidia GeForce GTX 1050,Linux,2.4,141.21,0,Core i5,2.5,798
Lenovo,Ultrabook,24,Intel HD Graphics 620,Windows 10,1.32,209.8,512,Core i7,2.7,2382
Asus,2 in 1 Convertible,2,Intel HD Graphics 500,Windows 10,1.1,135.09,0,Celeron Dual Core,1.1,275
MSI,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.7,127.34,128,Core i7,2.8,1191.8
Acer,Notebook,4,Intel HD Graphics 405,Windows 10,1.4,135.09,0,Pentium Quad Core,1.6,485
HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.64,157.35,256,Core i5,2.5,1010.51
Dell,Notebook,4,Intel HD Graphics 620,Windows 10,1.9,100.45,0,Core i5,2.5,825
Acer,Notebook,4,AMD Radeon R5,Windows 10,2.1,100.45,0,A9-Series,3,400
HP,Notebook,8,AMD Radeon 530,Windows 10,1.91,141.21,256,Core i7,2.7,719
Asus,Notebook,4,Intel HD Graphics 500,Windows 10,1.5,157.35,0,Celeron Dual Core,1.1,298
HP,Workstation,8,Nvidia Quadro M1200,Windows 10,3.14,106.11,0,Core i5,2.8,1860.99
HP,Notebook,4,Intel HD Graphics 520,Windows 10,1.86,141.21,0,Core i3,2,397
Dell,Ultrabook,8,Intel HD Graphics,Windows 10,1.36,176.23,256,Core i5,2.5,1472.2
Lenovo,Notebook,6,Nvidia GeForce GTX 940MX,Windows 10,2.2,141.21,256,Core i7,2.7,789
Dell,Notebook,8,Nvidia GeForce GTX 930MX,Linux,1.64,157.35,256,Core i5,2.8,1089
Dell,Notebook,4,Intel HD Graphics,Windows 10,2.2,100.45,0,Pentium Quad Core,1.6,443.99
HP,Notebook,8,Intel HD Graphics 520,Windows 10,1.96,141.21,256,Core i7,2.5,679
Asus,Notebook,8,Nvidia GeForce 920MX,Windows 10,2,141.21,256,Core i5,2.5,769
Samsung,Netbook,4,Intel HD Graphics 400,Chrome OS,1.15,135.09,0,Celeron Dual Core,1.6,269
Asus,Gaming,8,Nvidia GeForce GTX 1060,Windows 10,2.73,127.34,128,Core i5,2.5,1770
Lenovo,Notebook,8,Nvidia GeForce 920MX,Windows 10,1.87,157.35,256,Core i5,2.5,857.07
Dell,Notebook,8,Intel HD Graphics 620,Windows 10,2.06,141.21,0,Core i5,2.5,955
HP,Notebook,4,AMD Radeon R5 520,Windows 10,1.86,100.45,0,Core i3,2,438.69
HP,Workstation,8,AMD FirePro W6150M,Windows 7,3,127.34,0,Core i7,2.6,2899
HP,Notebook,4,Intel HD Graphics 400,Windows 10,1.44,111.94,32,Celeron Dual Core,1.6,229
HP,Notebook,8,AMD FirePro W4190M,Windows 10,1.9,141.21,0,Core i5,2.5,1154
Asus,Gaming,16,Nvidia GeForce GTX 1050,Windows 10,2.9,127.34,256,Core i7,2.8,1407
Apple,Ultrabook,16,AMD Radeon Pro 555,macOS,1.83,220.53,256,Core i7,2.8,2439.97
HP,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.39,276.05,256,Core i7,2.7,1149
Dell,Gaming,32,Nvidia GeForce GTX 1070,Windows 10,4.36,254.67,1024,Core i7,2.8,3659.4
Asus,Ultrabook,16,Nvidia GeForce GTX 940MX,Windows 10,1.63,141.21,512,Core i7,2.7,1468
Dell,Gaming,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,282.42,512,Core i7,2.8,1679
Dell,Notebook,8,AMD Radeon R7 M445,Linux,2.83,127.34,0,Core i7,2.7,865
HP,Workstation,8,Nvidia Quadro M1000M,Windows 7,2.59,141.21,256,Core i7,2.6,2229
HP,2 in 1 Convertible,8,Intel HD Graphics 520,Windows 10,1.48,165.63,256,Core i5,2.4,1629
Toshiba,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,100.45,128,Core i3,2.1,498
Asus,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,2.2,141.21,256,Core i7,2.8,2449
Lenovo,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.36,176.23,256,Core i5,2.5,1429
Acer,Notebook,4,Intel HD Graphics 500,Windows 10,2.1,100.45,0,Celeron Dual Core,2,333
Dell,Notebook,4,Intel HD Graphics 520,Windows 10,1.65,117.83,0,Core i3,2,849
Lenovo,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.4,141.21,0,Core i5,2.5,819
Samsung,Ultrabook,8,Intel HD Graphics 620,Windows 10,0.81,165.63,256,Core i5,2.5,1499
MSI,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.43,254.67,512,Core i7,2.6,2649
Acer,Notebook,4,Intel HD Graphics,Chrome OS,2.2,100.45,16,Celeron Dual Core,1.5,209
Lenovo,2 in 1 Convertible,16,Intel HD Graphics 520,Windows 10,1.36,209.8,512,Core i7,2.6,2499
Lenovo,Notebook,8,Nvidia Quadro M2200M,Windows 10,2.67,141.21,256,Core i7,2.9,2090
Lenovo,Notebook,6,Nvidia GeForce GTX 940MX,Windows 10,2.8,106.11,128,Core i5,2.5,719
Asus,Notebook,4,AMD Radeon R5 M430,Windows 10,2.2,141.21,128,A10-Series,2.5,575
Lenovo,Notebook,4,Nvidia GeForce 920MX,Windows 10,2.2,141.21,0,Core i3,2,468
Xiaomi,Notebook,16,Nvidia GeForce MX150,No OS,1.95,141.21,256,Core i7,1.8,1399.95
HP,Notebook,8,Intel HD Graphics 620,No OS,1.86,141.21,256,Core i5,2.5,575
Apple,Ultrabook,16,Intel Iris Pro Graphics,Mac OS X,2.04,220.53,0,Core i7,2.2,2139.97
Asus,2 in 1 Convertible,12,Nvidia GeForce GT 940MX,Windows 10,2.26,141.21,512,Core i7,2.7,1099
